doi,status_code,final_url,domain,resolved,redirect_count,redirect_chain,error
10.1016/j.copbio.2025.103383,200,https://linkinghub.elsevier.com/retrieve/pii/S0958166925001272,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.copbio.2025.103383 -> https://linkinghub.elsevier.com/retrieve/pii/S0958166925001272,
10.1016/j.jconrel.2025.114385,200,https://linkinghub.elsevier.com/retrieve/pii/S016836592500999X,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.jconrel.2025.114385 -> https://linkinghub.elsevier.com/retrieve/pii/S016836592500999X,
10.1002/adhm.202502225,403,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adhm.202502225,advanced.onlinelibrary.wiley.com,True,1,https://doi.org/10.1002/adhm.202502225 -> https://advanced.onlinelibrary.wiley.com/doi/10.1002/adhm.202502225,
10.1021/jacs.5c13982,403,https://pubs.acs.org/doi/10.1021/jacs.5c13982,pubs.acs.org,True,1,https://doi.org/10.1021/jacs.5c13982 -> https://pubs.acs.org/doi/10.1021/jacs.5c13982,
10.1248/cpb.c25-00477,200,https://www.jstage.jst.go.jp/article/cpb/73/11/73_c25-00477/_article,jstage.jst.go.jp,True,1,https://doi.org/10.1248/cpb.c25-00477 -> https://www.jstage.jst.go.jp/article/cpb/73/11/73_c25-00477/_article,
10.1016/j.mattod.2025.10.005,200,https://linkinghub.elsevier.com/retrieve/pii/S1369702125004250,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.mattod.2025.10.005 -> https://linkinghub.elsevier.com/retrieve/pii/S1369702125004250,
10.3390/pharmaceutics17101309,200,https://www.mdpi.com/1999-4923/17/10/1309,mdpi.com,True,1,https://doi.org/10.3390/pharmaceutics17101309 -> https://www.mdpi.com/1999-4923/17/10/1309,
10.1016/j.ijpharm.2025.126278,200,https://linkinghub.elsevier.com/retrieve/pii/S0378517325011159,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.ijpharm.2025.126278 -> https://linkinghub.elsevier.com/retrieve/pii/S0378517325011159,
10.1002/anie.202515406,403,https://onlinelibrary.wiley.com/doi/10.1002/anie.202515406,onlinelibrary.wiley.com,True,1,https://doi.org/10.1002/anie.202515406 -> https://onlinelibrary.wiley.com/doi/10.1002/anie.202515406,
10.1016/j.jtcvs.2025.10.021,200,https://linkinghub.elsevier.com/retrieve/pii/S0022522325008967,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.jtcvs.2025.10.021 -> https://linkinghub.elsevier.com/retrieve/pii/S0022522325008967,
10.1016/j.omtm.2025.101596,200,https://linkinghub.elsevier.com/retrieve/pii/S2329050125001913,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.omtm.2025.101596 -> https://linkinghub.elsevier.com/retrieve/pii/S2329050125001913,
10.1021/jacs.5c19387,403,https://pubs.acs.org/doi/10.1021/jacs.5c19387,pubs.acs.org,True,1,https://doi.org/10.1021/jacs.5c19387 -> https://pubs.acs.org/doi/10.1021/jacs.5c19387,
10.1021/acs.nanolett.5c03826,403,https://pubs.acs.org/doi/10.1021/acs.nanolett.5c03826,pubs.acs.org,True,1,https://doi.org/10.1021/acs.nanolett.5c03826 -> https://pubs.acs.org/doi/10.1021/acs.nanolett.5c03826,
10.1021/acsnanoscienceau.5c00042,403,https://pubs.acs.org/doi/10.1021/acsnanoscienceau.5c00042,pubs.acs.org,True,1,https://doi.org/10.1021/acsnanoscienceau.5c00042 -> https://pubs.acs.org/doi/10.1021/acsnanoscienceau.5c00042,
10.1038/s41598-025-21880-z,200,https://www.nature.com/articles/s41598-025-21880-z,nature.com,True,1,https://doi.org/10.1038/s41598-025-21880-z -> https://www.nature.com/articles/s41598-025-21880-z,
10.1016/j.molmed.2025.10.002,200,https://linkinghub.elsevier.com/retrieve/pii/S1471491425002400,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.molmed.2025.10.002 -> https://linkinghub.elsevier.com/retrieve/pii/S1471491425002400,
10.1038/s41565-025-02044-6,200,https://www.nature.com/articles/s41565-025-02044-6,nature.com,True,1,https://doi.org/10.1038/s41565-025-02044-6 -> https://www.nature.com/articles/s41565-025-02044-6,
10.1038/s41565-025-02045-5,200,https://www.nature.com/articles/s41565-025-02045-5,nature.com,True,1,https://doi.org/10.1038/s41565-025-02045-5 -> https://www.nature.com/articles/s41565-025-02045-5,
10.1021/acs.molpharmaceut.5c00348,403,https://pubs.acs.org/doi/10.1021/acs.molpharmaceut.5c00348,pubs.acs.org,True,1,https://doi.org/10.1021/acs.molpharmaceut.5c00348 -> https://pubs.acs.org/doi/10.1021/acs.molpharmaceut.5c00348,
10.1016/j.ijpharm.2025.126281,200,https://linkinghub.elsevier.com/retrieve/pii/S0378517325011184,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.ijpharm.2025.126281 -> https://linkinghub.elsevier.com/retrieve/pii/S0378517325011184,
10.1016/j.jconrel.2025.114305,200,https://linkinghub.elsevier.com/retrieve/pii/S0168365925009186,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.jconrel.2025.114305 -> https://linkinghub.elsevier.com/retrieve/pii/S0168365925009186,
